R4, heading=East, x=4, y=0, distance=4
R5, heading=East, x=158, y=121, distance=279
R5, heading=South, x=158, y=116, distance=274
L2, heading=East, x=160, y=116, distance=276
R3, heading=South, x=160, y=113, distance=273
L5, heading=East, x=165, y=113, distance=278
R5, heading=South, x=165, y=108, distance=273
L2, heading=East, x=167, y=108, distance=275
R4, heading=South, x=167, y=104, distance=271
R2, heading=West, x=165, y=104, distance=269
L1, heading=South, x=165, y=103, distance=268
R3, heading=West, x=162, y=103, distance=265
L5, heading=South, x=162, y=98, distance=260
R3, heading=West, x=159, y=98, distance=257
R2, heading=North, x=159, y=100, distance=259
R5, heading=East, x=164, y=100, distance=264
L1, heading=North, x=164, y=101, distance=265
R3, heading=East, x=167, y=101, distance=268
L2, heading=North, x=167, y=103, distance=270
R2, heading=East, x=169, y=103, distance=272
R1, heading=South, x=169, y=102, distance=271
271
