R4, heading=East, x=4, y=0, distance=4
L2, heading=unknown, x=164, y=152, distance=316
L5, heading=North, x=164, y=157, distance=321
R2, heading=East, x=166, y=157, distance=323
L2, heading=North, x=166, y=159, distance=325
R5, heading=East, x=171, y=159, distance=330
R5, heading=South, x=171, y=154, distance=325
L2, heading=East, x=173, y=154, distance=327
R3, heading=South, x=173, y=151, distance=324
L5, heading=East, x=178, y=151, distance=329
R5, heading=South, x=178, y=146, distance=324
L2, heading=East, x=180, y=146, distance=326
R4, heading=South, x=180, y=142, distance=322
R2, heading=West, x=178, y=142, distance=320
L1, heading=South, x=178, y=141, distance=319
R3, heading=West, x=175, y=141, distance=316
L5, heading=South, x=175, y=136, distance=311
R3, heading=West, x=172, y=136, distance=308
R2, heading=North, x=172, y=138, distance=310
R5, heading=East, x=177, y=138, distance=315
L1, heading=North, x=177, y=139, distance=316
R3, heading=East, x=180, y=139, distance=319
L2, heading=North, x=180, y=141, distance=321
R2, heading=East, x=182, y=141, distance=323
R1, heading=South, x=182, y=140, distance=322
322
